Row,SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
627,E,Construction,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2021,31/12/2021,871.996975
628,E,Construction,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2021,31/12/2021,19.767782
629,E,Construction,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2021,31/12/2021,162.940536
630,E,Construction,Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,459.956835
631,C14,Wood Product Manufacturing,Industrial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,5.50869
632,C113,Dairy Product Manufacturing,Industrial,LPG,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,398.084
633,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Geothermal,Renewables,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,3626.652251
634,C113,Dairy Product Manufacturing,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,5524.149701
635,C113,Dairy Product Manufacturing,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,5319.363353
636,C113,Dairy Product Manufacturing,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,1843.081835
637,C14,Wood Product Manufacturing,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,147.853998
638,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,123.429201
639,C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,981.693836
640,C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,1676.946809
641,C113,Dairy Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,4238.249183
642,C113,Dairy Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,3541.940821
643,C113,Dairy Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,6266.775288
